Watching PID 92703 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.002  ;   16156.00;   14487.00;    6908.00
1.001  ;   16156.00;   14487.00;    6996.00
1.002  ;   16156.00;   14487.00;    7052.00
1.001  ;   16156.00;   14487.00;    7168.00
1.001  ;   16156.00;   14487.00;    7156.00
1.001  ;   16156.00;   14487.00;    7112.00
1.001  ;   16156.00;   14487.00;    8224.00
1.001  ;   16156.00;   14487.00;    8156.00
1.001  ;   16156.00;   14487.00;    7592.00
1.001  ;   16156.00;   14487.00;    7396.00
1.001  ;   16156.00;   14487.00;    7572.00
1.001  ;   16156.00;   14487.00;    8268.00
1.001  ;   16156.00;   14487.00;    7896.00
1.001  ;   16156.00;   14487.00;    8248.00
1.001  ;   16156.00;   14487.00;    7776.00
1.001  ;   16156.00;   14487.00;    8048.00
1.001  ;   16156.00;   14487.00;    8060.00
1.001  ;   16156.00;   14487.00;    8468.00
1.001  ;   16156.00;   14487.00;    8756.00
1.001  ;   16160.00;   14491.00;    9192.00
1.001  ;   16160.00;   14491.00;    6856.00
1.001  ;   16160.00;   14491.00;    6488.00
1.001  ;   16160.00;   14491.00;    6524.00
1.001  ;   16160.00;   14491.00;    6568.00
1.001  ;   16160.00;   14491.00;    6644.00
1.001  ;   16160.00;   14491.00;    7712.00
1.001  ;   16160.00;   14491.00;    7196.00
1.001  ;   16160.00;   14491.00;    6988.00
1.001  ;   16160.00;   14491.00;    6708.00
1.001  ;   16160.00;   14491.00;    7348.00
1.001  ;   16160.00;   14491.00;    7444.00
1.001  ;   16160.00;   14491.00;    7404.00
1.001  ;   16160.00;   14491.00;    7264.00
1.001  ;   16160.00;   14491.00;    7540.00
1.001  ;   16160.00;   14491.00;    7288.00
1.001  ;   16160.00;   14491.00;    7696.00
1.001  ;   16160.00;   14491.00;    8256.00
1.001  ;   16160.00;   14491.00;    7980.00
1.001  ;   16160.00;   14491.00;    8064.00
1.001  ;   16160.00;   14491.00;    7844.00
1.001  ;   16160.00;   14491.00;    7972.00
1.001  ;   16160.00;   14491.00;    8440.00
1.001  ;   16160.00;   14491.00;    8008.00
1.001  ;   16160.00;   14491.00;    7444.00
1.001  ;   16160.00;   14491.00;    7712.00
1.001  ;   16160.00;   14491.00;    7648.00
1.001  ;   16160.00;   14491.00;    7400.00
1.001  ;   16160.00;   14491.00;    8696.00
