Watching PID 17135 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.009  ;  615040.00;  613141.00;   56920.00
1.009  ;  615300.00;  613401.00;   63580.00
1.009  ;  615792.00;  613893.00;   91752.00
1.010  ;  616396.00;  614497.00;   57252.00
1.010  ;  616592.00;  614693.00;   48196.00
1.010  ;  616916.00;  615017.00;   76672.00
1.010  ;  617244.00;  615345.00;   77160.00
1.010  ;  617836.00;  615937.00;   78520.00
1.010  ;  618168.00;  616269.00;   79752.00
1.009  ;  618304.00;  616405.00;   57556.00
1.009  ;  618564.00;  616665.00;   86984.00
1.009  ;  618820.00;  616921.00;   86640.00
1.010  ;  619288.00;  617389.00;   85888.00
1.010  ;  619752.00;  617853.00;   82044.00
1.010  ;  619952.00;  618053.00;   41640.00
1.010  ;  620276.00;  618377.00;   91400.00
1.009  ;  620540.00;  618641.00;   85880.00
1.010  ;  621084.00;  619185.00;   91832.00
1.010  ;  621084.00;  619185.00;   46216.00
1.010  ;  621220.00;  619321.00;   50604.00
1.010  ;  621560.00;  619661.00;   98328.00
1.010  ;  621996.00;  620097.00;   80844.00
1.010  ;  622060.00;  620161.00;   83792.00
1.010  ;  622600.00;  620701.00;   79272.00
1.010  ;  622928.00;  621029.00;   86512.00
1.010  ;  623256.00;  621357.00;   73760.00
1.010  ;  623788.00;  621889.00;   77892.00
1.010  ;  623984.00;  622085.00;   42036.00
1.010  ;  624408.00;  622509.00;   87648.00
1.010  ;  624668.00;  622769.00;   91232.00
1.010  ;  624900.00;  623001.00;   90016.00
1.010  ;  625300.00;  623401.00;   84552.00
1.010  ;  625628.00;  623729.00;   89256.00
1.010  ;  625960.00;  624061.00;   74084.00
1.010  ;  626292.00;  624393.00;   93304.00
1.010  ;  626300.00;  624401.00;   57228.00
1.009  ;  626692.00;  624793.00;   82592.00
1.010  ;  626944.00;  625045.00;   85820.00
1.010  ;  627416.00;  625517.00;   42120.00
1.010  ;  627740.00;  625841.00;   86016.00
1.010  ;  628004.00;  626105.00;   84260.00
1.010  ;  628532.00;  626633.00;   91392.00
1.010  ;  629076.00;  627177.00;   62828.00
1.010  ;  629872.00;  627973.00;   67268.00
1.010  ;  630068.00;  628169.00;   42708.00
1.009  ;  630328.00;  628429.00;   87416.00
1.010  ;  630656.00;  628757.00;   74592.00
1.010  ;  630720.00;  628821.00;   62644.00
1.010  ;  630720.00;  628821.00;   76308.00
1.010  ;  631048.00;  629149.00;   82116.00
1.010  ;  631312.00;  629413.00;   71108.00
1.010  ;  631376.00;  629477.00;   62596.00
1.010  ;  631968.00;  630069.00;   83140.00
1.010  ;  632304.00;  630405.00;   86204.00
1.010  ;  632440.00;  630541.00;   56252.00
1.010  ;  632820.00;  630921.00;   86728.00
1.010  ;  633020.00;  631121.00;   78864.00
1.010  ;  633356.00;  631457.00;   68848.00
1.010  ;  633420.00;  631521.00;   60824.00
1.010  ;  633824.00;  631925.00;   76052.00
1.010  ;  634084.00;  632185.00;   80544.00
1.010  ;  634616.00;  632717.00;   85868.00
1.010  ;  635136.00;  633237.00;   50496.00
1.010  ;  635400.00;  633501.00;   49664.00
1.010  ;  635464.00;  633565.00;   43424.00
1.010  ;  635796.00;  633897.00;   85244.00
1.010  ;  636060.00;  634161.00;   83088.00
1.010  ;  636452.00;  634553.00;   83388.00
1.010  ;  636780.00;  634881.00;   58404.00
1.010  ;  637248.00;  635349.00;   71980.00
1.010  ;  637444.00;  635545.00;   41708.00
1.010  ;  637768.00;  635869.00;   82640.00
1.010  ;  638096.00;  636197.00;   80748.00
1.010  ;  638424.00;  636525.00;   82600.00
1.010  ;  638688.00;  636789.00;   76224.00
1.010  ;  638752.00;  636853.00;   74976.00
1.009  ;  639080.00;  637181.00;   71604.00
1.010  ;  639348.00;  637449.00;   62732.00
1.010  ;  639408.00;  637509.00;   59308.00
1.010  ;  639680.00;  637781.00;   82340.00
1.010  ;  640080.00;  638181.00;   81496.00
1.010  ;  640196.00;  638297.00;   71392.00
1.010  ;  640396.00;  638497.00;   66352.00
1.010  ;  640732.00;  638833.00;   61316.00
1.010  ;  641060.00;  639161.00;   74304.00
1.010  ;  641124.00;  639225.00;   52320.00
1.010  ;  641452.00;  639553.00;   73156.00
1.010  ;  642116.00;  640217.00;   74876.00
1.010  ;  642440.00;  640541.00;   61332.00
1.010  ;  642768.00;  640869.00;   57880.00
1.010  ;  643096.00;  641197.00;   48760.00
1.010  ;  643428.00;  641529.00;   43264.00
1.010  ;  643692.00;  641793.00;   83616.00
1.010  ;  643756.00;  641857.00;   66528.00
1.010  ;  644084.00;  642185.00;   74192.00
1.010  ;  644640.00;  642741.00;   81604.00
1.010  ;  644724.00;  642825.00;   41700.00
1.010  ;  645148.00;  643249.00;   82076.00
1.010  ;  645420.00;  643521.00;   78456.00
1.010  ;  645904.00;  644005.00;   83952.00
1.010  ;  645980.00;  644081.00;   37368.00
1.010  ;  646392.00;  644493.00;   56844.00
1.010  ;  646980.00;  645081.00;   57304.00
