Watching PID 13704 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.004  ;  225876.00;  224160.00;  207380.00
1.004  ;  225876.00;  224160.00;  207020.00
1.004  ;  225876.00;  224160.00;  206904.00
1.004  ;  225876.00;  224160.00;  207060.00
1.004  ;  225876.00;  224160.00;  206928.00
1.004  ;  225876.00;  224160.00;  207244.00
1.004  ;  225876.00;  224160.00;  207464.00
1.004  ;  225876.00;  224160.00;  206912.00
1.004  ;  225876.00;  224160.00;  207108.00
1.004  ;  225876.00;  224160.00;  207804.00
1.004  ;  225876.00;  224160.00;  207332.00
1.004  ;  225876.00;  224160.00;  207040.00
1.004  ;  225876.00;  224160.00;  207380.00
1.004  ;  225876.00;  224160.00;  207300.00
1.004  ;  225876.00;  224160.00;  207076.00
1.004  ;  225876.00;  224160.00;  207416.00
1.004  ;  225876.00;  224160.00;  207080.00
1.004  ;  225876.00;  224160.00;  207300.00
1.004  ;  225876.00;  224160.00;  207168.00
1.004  ;  225876.00;  224160.00;  207468.00
1.004  ;  225876.00;  224160.00;  207192.00
1.004  ;  225876.00;  224160.00;  207472.00
1.004  ;  225876.00;  224160.00;  207144.00
1.004  ;  225876.00;  224160.00;  207760.00
1.004  ;  225876.00;  224160.00;  207216.00
1.004  ;  225876.00;  224160.00;  207088.00
1.004  ;  225876.00;  224160.00;  207388.00
1.004  ;  225876.00;  224160.00;  207716.00
1.005  ;  225876.00;  224160.00;  207000.00
1.005  ;  225876.00;  224160.00;  207944.00
1.004  ;  225876.00;  224160.00;  207284.00
1.004  ;  225876.00;  224160.00;  206816.00
1.004  ;  225876.00;  224160.00;  206816.00
1.004  ;  225876.00;  224160.00;  207156.00
1.004  ;  225876.00;  224160.00;  206876.00
1.004  ;  225876.00;  224160.00;  207728.00
1.004  ;  225876.00;  224160.00;  207360.00
1.004  ;  225876.00;  224160.00;  206956.00
1.004  ;  225876.00;  224160.00;  207604.00
1.004  ;  225876.00;  224160.00;  206996.00
1.004  ;  225876.00;  224160.00;  207980.00
1.004  ;  225876.00;  224160.00;  207652.00
1.004  ;  225876.00;  224160.00;  207120.00
1.004  ;  225876.00;  224160.00;  207660.00
1.004  ;  225876.00;  224160.00;  207720.00
1.004  ;  225876.00;  224160.00;  207088.00
1.004  ;  225876.00;  224160.00;  206696.00
1.004  ;  225876.00;  224160.00;  207212.00
1.004  ;  225876.00;  224160.00;  207284.00
1.004  ;  225876.00;  224160.00;  207536.00
1.004  ;  225876.00;  224160.00;  207332.00
1.004  ;  225876.00;  224160.00;  207848.00
1.004  ;  225876.00;  224160.00;  207716.00
1.004  ;  225876.00;  224160.00;  207224.00
1.004  ;  225876.00;  224160.00;  207604.00
1.004  ;  225876.00;  224160.00;  207784.00
1.004  ;  225876.00;  224160.00;  208192.00
1.004  ;  225876.00;  224160.00;  208464.00
1.004  ;  225876.00;  224160.00;  207868.00
1.004  ;  225876.00;  224160.00;  208000.00
1.004  ;  225876.00;  224160.00;  207672.00
1.004  ;  225876.00;  224160.00;  207720.00
1.004  ;  225876.00;  224160.00;  207860.00
1.004  ;  225876.00;  224160.00;  207808.00
1.004  ;  225876.00;  224160.00;  207952.00
1.004  ;  225876.00;  224160.00;  208532.00
1.005  ;  225876.00;  224160.00;  207936.00
1.004  ;  225876.00;  224160.00;  208176.00
1.004  ;  225876.00;  224160.00;  208260.00
1.004  ;  225876.00;  224160.00;  208184.00
1.004  ;  225876.00;  224160.00;  208592.00
1.004  ;  225876.00;  224160.00;  208432.00
1.004  ;  225876.00;  224160.00;  208480.00
1.004  ;  225876.00;  224160.00;  208976.00
1.004  ;  225876.00;  224160.00;  208788.00
1.004  ;  225876.00;  224160.00;  208276.00
1.004  ;  225876.00;  224160.00;  208652.00
1.004  ;  225876.00;  224160.00;  208688.00
1.004  ;  225876.00;  224160.00;  209148.00
1.005  ;  225876.00;  224160.00;  208696.00
1.005  ;  225876.00;  224160.00;  208660.00
1.004  ;  225876.00;  224160.00;  209460.00
1.004  ;  225876.00;  224160.00;  210268.00
1.004  ;  225916.00;  224200.00;  209376.00
1.004  ;  225916.00;  224200.00;  208652.00
1.004  ;  226076.00;  224360.00;  209980.00
1.004  ;  226332.00;  224616.00;  210240.00
1.005  ;  226480.00;  224764.00;  209256.00
1.004  ;  226500.00;  224784.00;  209164.00
1.004  ;  226620.00;  224904.00;  209812.00
1.004  ;  226648.00;  224932.00;  209360.00
1.004  ;  226840.00;  225124.00;  209372.00
1.004  ;  226912.00;  225196.00;  209728.00
1.004  ;  227128.00;  225412.00;  209588.00
1.004  ;  227200.00;  225484.00;  210120.00
1.005  ;  227200.00;  225484.00;  210468.00
1.005  ;  227200.00;  225484.00;  209680.00
1.006  ;  227200.00;  225484.00;  209968.00
1.005  ;  227216.00;  225500.00;  210184.00
1.004  ;  227216.00;  225500.00;  210260.00
1.004  ;  227240.00;  225524.00;  210356.00
1.004  ;  227252.00;  225536.00;  209996.00
1.004  ;  227376.00;  225660.00;  211312.00
1.004  ;  227460.00;  225744.00;  211092.00
1.004  ;  227472.00;  225756.00;  210660.00
1.005  ;  227508.00;  225792.00;  210456.00
1.005  ;  227668.00;  225952.00;  210376.00
1.004  ;  227668.00;  225952.00;  209804.00
1.004  ;  227668.00;  225952.00;  210092.00
1.004  ;  227700.00;  225984.00;  210492.00
1.004  ;  227808.00;  226092.00;  209524.00
