Watching PID 18662 page references for every 1 seconds...
Est(s) ;    RSS(kB);    PSS(kB);    Ref(kB)
1.001  ;   16056.00;   14419.00;    9364.00
1.001  ;   16060.00;   14423.00;    9484.00
1.001  ;   16060.00;   14423.00;    9656.00
1.001  ;   16064.00;   14427.00;    9860.00
1.001  ;   16068.00;   14431.00;    9868.00
1.001  ;   16072.00;   14435.00;   10008.00
1.001  ;   16076.00;   14439.00;    9908.00
1.001  ;   16080.00;   14443.00;    9812.00
1.001  ;   16084.00;   14447.00;    9720.00
1.001  ;   16088.00;   14451.00;    9616.00
1.001  ;   16088.00;   14451.00;    9840.00
1.001  ;   16096.00;   14459.00;    9720.00
1.001  ;   16096.00;   14459.00;    9616.00
1.001  ;   16100.00;   14463.00;    9804.00
1.001  ;   16104.00;   14467.00;    9704.00
1.001  ;   16108.00;   14471.00;    9656.00
1.001  ;   16112.00;   14475.00;    9980.00
1.001  ;   16116.00;   14479.00;   10204.00
1.001  ;   16124.00;   14487.00;   10588.00
1.001  ;   16136.00;   14499.00;    9968.00
1.001  ;   16164.00;   14527.00;   10148.00
1.001  ;   16176.00;   14539.00;   10192.00
1.001  ;   16196.00;   14559.00;   10072.00
1.001  ;   16212.00;   14575.00;   10236.00
1.001  ;   16232.00;   14595.00;   10296.00
1.001  ;   16248.00;   14611.00;   10396.00
1.001  ;   16268.00;   14631.00;   10084.00
1.001  ;   16296.00;   14659.00;   10288.00
1.001  ;   16308.00;   14671.00;   10284.00
1.001  ;   16336.00;   14699.00;   10284.00
1.001  ;   16348.00;   14711.00;   10516.00
1.001  ;   16376.00;   14739.00;   10664.00
1.001  ;   16388.00;   14751.00;   10428.00
1.001  ;   16396.00;   14759.00;   10484.00
1.001  ;   16432.00;   14795.00;   10452.00
1.001  ;   16448.00;   14811.00;   10592.00
1.001  ;   16460.00;   14823.00;   10764.00
1.001  ;   16484.00;   14847.00;   11048.00
1.001  ;   16496.00;   14859.00;   10892.00
1.001  ;   16512.00;   14875.00;   10960.00
1.001  ;   16528.00;   14891.00;   10824.00
1.001  ;   16548.00;   14911.00;   10680.00
1.001  ;   16548.00;   14911.00;   10772.00
1.001  ;   16584.00;   14947.00;   10608.00
1.001  ;   16596.00;   14959.00;   10640.00
1.001  ;   16620.00;   14983.00;   10872.00
1.001  ;   16632.00;   14995.00;   10708.00
1.001  ;   16648.00;   15011.00;   10816.00
1.001  ;   16664.00;   15027.00;   10796.00
1.001  ;   16684.00;   15047.00;   11024.00
1.001  ;   16712.00;   15075.00;   11000.00
1.001  ;   16728.00;   15091.00;   11072.00
1.001  ;   16740.00;   15103.00;   11164.00
1.001  ;   16768.00;   15131.00;   11244.00
1.001  ;   16780.00;   15143.00;   11204.00
1.001  ;   16804.00;   15167.00;   11472.00
1.001  ;   16816.00;   15179.00;   11108.00
1.001  ;   16840.00;   15203.00;   11244.00
1.001  ;   16852.00;   15215.00;   11460.00
1.001  ;   16876.00;   15239.00;   11572.00
1.001  ;   16896.00;   15259.00;   11496.00
1.001  ;   16912.00;   15275.00;   11712.00
1.001  ;   16924.00;   15287.00;   11724.00
1.001  ;   16952.00;   15315.00;   11740.00
1.001  ;   16972.00;   15335.00;   11764.00
1.001  ;   16980.00;   15343.00;   11740.00
1.001  ;   17008.00;   15371.00;   11976.00
1.001  ;   17032.00;   15395.00;   11756.00
1.001  ;   17048.00;   15411.00;   11844.00
1.001  ;   17072.00;   15435.00;   12156.00
1.001  ;   17100.00;   15463.00;   12376.00
1.001  ;   17128.00;   15491.00;   12084.00
1.001  ;   17164.00;   15527.00;   12104.00
1.001  ;   17184.00;   15547.00;   12168.00
1.001  ;   17212.00;   15575.00;   12452.00
1.001  ;   17360.00;   15723.00;   12684.00
1.001  ;   17384.00;   15747.00;   12252.00
1.001  ;   17408.00;   15771.00;   12864.00
1.001  ;   17408.00;   15771.00;    7864.00
1.001  ;   17408.00;   15771.00;    6436.00
1.001  ;   17408.00;   15771.00;    7260.00
1.001  ;   17408.00;   15771.00;    7192.00
1.001  ;   17408.00;   15771.00;    7252.00
1.001  ;   17408.00;   15771.00;    6940.00
1.001  ;   17408.00;   15771.00;    7404.00
1.001  ;   17408.00;   15771.00;    7644.00
1.001  ;   17408.00;   15771.00;    7596.00
1.001  ;   17408.00;   15771.00;    7448.00
1.001  ;   17408.00;   15771.00;    6972.00
1.001  ;   17408.00;   15771.00;    7328.00
1.001  ;   17408.00;   15771.00;    7696.00
1.001  ;   17408.00;   15771.00;    7384.00
1.001  ;   17408.00;   15771.00;    7816.00
1.001  ;   17408.00;   15771.00;    6840.00
1.001  ;   17408.00;   15771.00;    8228.00
1.001  ;   17408.00;   15771.00;    8112.00
1.001  ;   17408.00;   15771.00;    7912.00
1.001  ;   17408.00;   15771.00;    7668.00
1.001  ;   17408.00;   15771.00;    7960.00
1.001  ;   17408.00;   15771.00;    8176.00
1.001  ;   17408.00;   15771.00;    8168.00
1.001  ;   17408.00;   15771.00;    7696.00
1.001  ;   17408.00;   15771.00;    7508.00
1.001  ;   17408.00;   15771.00;    8192.00
1.001  ;   17408.00;   15771.00;    7988.00
1.001  ;   17408.00;   15771.00;    8320.00
1.001  ;   17408.00;   15771.00;    8704.00
1.001  ;   17408.00;   15771.00;    8280.00
1.001  ;   17408.00;   15771.00;    8144.00
1.001  ;   17408.00;   15771.00;    8384.00
1.001  ;   17408.00;   15771.00;    8412.00
1.001  ;   17408.00;   15771.00;    8204.00
1.001  ;   17408.00;   15771.00;    7876.00
1.001  ;   17408.00;   15771.00;    8152.00
1.001  ;   17408.00;   15771.00;    8448.00
1.001  ;   17408.00;   15771.00;    7832.00
1.001  ;   17408.00;   15771.00;    8764.00
1.001  ;   17408.00;   15771.00;    8328.00
1.001  ;   17408.00;   15771.00;    8644.00
1.001  ;   17408.00;   15771.00;    8036.00
1.001  ;   17408.00;   15771.00;    8700.00
1.001  ;   17408.00;   15771.00;    8380.00
1.001  ;   17408.00;   15771.00;    8628.00
1.001  ;   17408.00;   15771.00;    8700.00
1.001  ;   17408.00;   15771.00;    8968.00
1.001  ;   17408.00;   15771.00;    8900.00
1.001  ;   17408.00;   15771.00;    8776.00
1.001  ;   17408.00;   15771.00;    8844.00
1.001  ;   17408.00;   15771.00;    9052.00
1.001  ;   17408.00;   15771.00;    9088.00
1.001  ;   17408.00;   15771.00;    9136.00
1.001  ;   17408.00;   15771.00;    8892.00
1.001  ;   17408.00;   15771.00;    9060.00
1.001  ;   17408.00;   15771.00;    9192.00
1.001  ;   17408.00;   15771.00;    9200.00
1.001  ;   17408.00;   15771.00;    9416.00
1.001  ;   17408.00;   15771.00;    9096.00
1.001  ;   17408.00;   15771.00;    9444.00
1.001  ;   17408.00;   15771.00;    8904.00
1.001  ;   17408.00;   15771.00;    9556.00
1.001  ;   17408.00;   15771.00;    9668.00
1.001  ;   17408.00;   15771.00;    9360.00
1.001  ;   17408.00;   15771.00;    9720.00
1.001  ;   17408.00;   15771.00;    9288.00
1.001  ;   17408.00;   15771.00;    9616.00
1.001  ;   17408.00;   15771.00;    9280.00
1.001  ;   17408.00;   15771.00;    9680.00
1.001  ;   17408.00;   15771.00;    9188.00
1.001  ;   17408.00;   15771.00;    9464.00
1.001  ;   17408.00;   15771.00;    9296.00
1.001  ;   17408.00;   15771.00;    9704.00
1.001  ;   17408.00;   15771.00;    9524.00
1.001  ;   17408.00;   15771.00;    9592.00
1.001  ;   17408.00;   15771.00;    9724.00
1.001  ;   17408.00;   15771.00;    9604.00
1.001  ;   17408.00;   15771.00;   10004.00
1.001  ;   17408.00;   15771.00;    9724.00
1.001  ;   17408.00;   15771.00;    9896.00
1.001  ;   17408.00;   15771.00;   10040.00
1.001  ;   17408.00;   15771.00;   10036.00
1.001  ;   17408.00;   15771.00;   10264.00
1.001  ;   17408.00;   15771.00;    9896.00
1.001  ;   17408.00;   15771.00;    9920.00
1.001  ;   17408.00;   15771.00;    9768.00
1.001  ;   17408.00;   15771.00;   10076.00
1.001  ;   17408.00;   15771.00;    9956.00
1.001  ;   17408.00;   15771.00;   10004.00
1.001  ;   17408.00;   15771.00;    9988.00
